279,JONAH - On Stage!,Fathom,"$520,496",622,N/A,N/A,5/2,5/2
280,Fairy Tail: Dragon Cry,FUN,"$519,461",304,"$169,203",292,8/14,8/20
281,Raw (2017),FCW,"$514,870",45,"$24,825",2,3/10,5/4
282,Our President,CJ,"$507,268",41,"$9,421",1,6/2,8/6
283,Breathe (2017),BST,"$490,131",315,"$22,285",4,10/13,12/14
284,Once Upon A Time,WGUSA,"$485,728",51,"$249,933",51,8/11,9/21
285,Confidential Assignment,CJ,"$475,618",13,"$21,228",2,1/27,3/19
286,Beach Rats,Neon,"$473,771",67,"$46,451",3,8/25,10/26
287,Duckweed,CL,"$471,575",30,"$160,739",27,2/10,3/23
288,DCI 2017 Tour Premeire,Fathom,"$467,817",478,N/A,N/A,6/22,6/22
289,Phillauri,FIP,"$467,596",74,"$260,982",74,3/24,4/13
290,Chasing the Dragon,WGUSA,"$456,854",52,"$138,346",52,9/29,11/19
291,Sailor Moon R: The Movie,Elev.,"$452,053",151,"$253,490",145,1/19,2/16
292,Song to Song,BG,"$443,684",95,"$50,559",4,3/17,6/1
293,One Piece Film: Gold,FUN,"$423,593",372,"$50,241",13,1/10,1/19
294,A Gentleman,FIP,"$410,055",135,"$191,530",135,8/25,9/14
295,"Love, Kennedy",Purd.,"$407,871",19,"$45,285",19,6/2,10/12
296,Chasing Trane: The John Coltrane Documentary,Abr.,"$406,284",17,"$16,626",1,4/14,10/1
297,1945,Men.,"$387,941",13,"$20,365",2,11/1,-
298,Rifftrax: Samurai Cop,Fathom,"$384,756",705,N/A,N/A,4/13,4/20
299,I'll Push You,Fathom,"$378,899",557,N/A,N/A,11/2,11/2
300,Rebel in the Rye,IFC,"$378,294",82,"$37,967",4,9/8,11/2
Totals:,"$11,076,670,784",-,-,-,-,-
Averages:,"$15,257,122",-,-,-,-,-
301,Tom of Finland,KL,"$371,696",12,"$13,524",1,10/13,-
302,Boston: An American Running Story,Fathom,"$364,369",481,N/A,N/A,4/19,5/9
